"","tweet"
"2676","Been looking forward to skiing since April, but @United left my bag in Denver so I'll be sitting around NOT skiing tomorrow..very very sad"
"2677","@Charles_Joly @AmericanAir Haha! So frustrating to have delays, and more so when it's about staff not being available to do their jobs."
"2678","Jay Jay's nephew waiting to debut for Nigeria: http://t.co/0tnvE1ShFQ @gtbank @MTNNG @AirtelNigeria @SouthwestAir @Nathan_Ekpo @Gidi_Traffic"
"2679","I spy @IFlyOAKland! Can we be twitter buds? Too forward? Sorry, we can hardly wait for the service on @SouthwestAir http://t.co/AAXZhJ1Iur"
"2680","@DeltaAssist how do i use a companion pass for someone to travel with me but leave on a flight just after mine? Coming home the same time"
"2681","flight cancelled and vacation delayed 2 days. finally ready to go and delay again dude to maintenance, thanks @JetBlue.. #neveragain"
"2682","@KaceyMusgraves @AmericanAir The worst."
"2683","@americanair Can someone contact me about my awful experience with american airlines this weekend"
"2684","@SouthwestAir 20 minutes on hold waiting is ridiculous......"
"2685","@USDOT tells @united is not responsible of its own fault Really bad move #glitchgate cc @UnitedAppeals"
"2686","@DeltaAssist @Delta - cut ur most premier customer base (gold/diamond) but preferred seats 4 ur staff #skymiles sucks http://t.co/srnqPwOnDu"
"2687","@united we support moms and our troops. This hero deserves far more. You should be ashamed"
"2688","Yo @deltaassist I'm having seat problems, can you help?"
"2689","To change rider behavior, @MTA should look @Delta &amp; @VirginAmerica safety videos. Direct shaming is poor strategy http://t.co/9IyBDNWDVX"
"2690","Last week: Ft. Lauderdale to SJU delayed. Tonight: SJU to JFK delayed. Come on @JetBlue! I have an early meeting tomorrow."
"2691","@SouthwestAir flight 233 PHX-&gt;ONT 2 hr delay for a random plane inspection?? Shouldn't this be scheduled in advanced? #dissapointed"
"2692","idk why I ever tried any airline other than @VirginAmerica .  I'll never betray you again I promise."
"2693","This is the 2nd and LAST time I fly @SouthwestAir willingly. EB = total waste; hope we don't almost crash at MDW like my last trip w/them"
"2694","@united after flight from SAN to DEN we were left waiting on jet bridge.  Longest I  ever waited arrived into Gate 56 at DEN."
"2695","@SouthwestAir smh what the hell Southwest? I thought y'all were on your game."
"2696","@DeltaAssist you cancel flight out of YYZ last night and delay DL5309 this morning?? #whereistheplane"
"2697","@united first flight of the day and there's already mechanical issue delay? You've been parked here all night! # dontfailme"
"2698","@DeltaAssist Here's your app's performance today. #fail http://t.co/bKMfIQHD6F"
"2699","@GrahamDeLaet @united @9modano I flew with them back to the uk on Saturday and I am still waiting for my suitcase to join me!"
"2700","@SouthwestAir How the hell did you manage to miss maintenance checks on ANY aircraft?"
"2701","_@detroitnews: .@SouthwestAir grounding 128 planes over missed inspections http://t.co/e963luB3rV no! My fam flying w/ them!!!!"
"2702","@SouthwestAir @dubvTB3 if safety is a priority how was this missed? Won't ever fly @SouthwestAir again"
"2703","@CheerTymeDad @united @cheerUPDATES  @LarkAfterDark  We got your back.  @united just lost a hole lot of cheerleaders.  Fly @SouthwestAir"
"2704","@united I'm currently waiting to get on a plane on Silver which is apparently delayed by 2 hours &amp; this happens all the time. Pathetic."
"2705","Had a toddler screaming and kicking my seat from la to orlando good thing I was on @VirginAmerica and the mood lighting kept me calm"
"2706","@deltaassist stuck in the EYW airport. Flight was just canceled. No attendant at the counter. #badcustomerservice #notflyingdeltaagain"
"2707","@united no sadly. But I waited an hour and 45 min for a beverage. And the overall process was very unorganized with poor customer service."
"2708","@SouthwestAir I'm flying Houston to Memphis later. Will I get advanced notice of a cancellation? Don't want to get stranded that late."
"2709","@DeltaAssist answer @RealEdenWWE now or I'm gonna get angry"
"2710","@united we were already delayed bc a late aircraft, now your fuel guy ""forgot to top off the fuel"" Seriously, are you working against me?"
"2711","Having issues with both @DeltaAssist AND @EmiratesSupport. Have equal miles with both so let's find out which one wants my future money more"
"2712","@jetblue, 11 days later and still web and app problems. I hope the boss is providing lots of drinks when this gets fixed"
"2713","@alaskaair Totally! I never carry my ""Expression of Thanks"" certificates with me, but the crew (both FAs &amp; Pilots) deserved one today."
"2714","@americanair BIG FAIL! Been sitting on a plane grounded for over 2 hrs and no answer to when we will get a gate. NOT OK #fail"
"2715","@DeltaAssist On the ""Edit Lost Item Report"" on http://t.co/2ll5amRWcT, where on the form can mark the item as found?"
"2716","@AmericanAir just got charged $50 for two bags. Not clear this was policy and buried deep in the site. Bad first experience with you guys."
"2717","ugh I just remembered that @AmericanAir never responded to my Christmas-Day-Flight-From-Hell Experience that I emailed them about #bitter"
"2718","@jnardino @VirginAmerica For the record, you weren't the only complaint; you were, however, the best complaint."
"2719","Hi @SouthwestAir! Does anyone still work there? Been on hold for FOUR DAYS now and haven't spoken to a single soul!"
"2720","Lost $60 in @waitwait tix and WORSE, will miss @petersagal, @billkurtis1, and guests when @SouthwestAir canceled Flight 61 AFTER boarding..."
"2721","Here we go again @united... BOI-ORD #cancelled #delayed #delayed More to come #unitedfail"
"2722","@SouthwestAir loaded everyone on the plane (full flight) and then comes over the speaker to say they are waiting for the pilots. #delay"
"2723","Arrived 3 hr late in @flySFO due to 6am hydraulic issue &amp; bag won't arrive for another 8 hours. And I must pick it up. Kudos @SouthwestAir"
"2724","Picking up lost laptop at @SouthwestAir. 2nd time they've come through for me. Here's the 1st: http://t.co/1klI6lvpa2 http://t.co/s8VxrfqGAu"
"2725","@united WHY, from first to worst. Another 4 hour delay UA591? What is going on with United, messed up for over a year now. Very low patience"
"2726","Hey @virginamerica, any thoughts on how to tell someone that his feet smell? My neighbor__s odor is giving me a headache. #flyinghome"
"2727","@AmericanAir over 2 hours waiting on the runway at LGA and about an hour and counting in DSM how can that be"
"2728","@DeltaAssist lost ID at Vegas airport. Delta found it and went out of their way to get it back to me.  HUGE relief!"
"2729","@united luggage arrived today,  waiting on a response for the flight now"
"2730","@AmericanAir flew AA60 DFW-MIA on 26FEB took nearly 1 hour for 1st  bag to arrive on belt... priority bags last. Really!?!? #amateurs #fail"
"2731","9 hours later I'm finally getting out of Midway. A 12 hr day flying. @SouthwestAir failing me again. Time for me to make the switch to Delta"
"2732","70+% chance on time, delayed hour,now wait on RDU passengers. @SouthwestAir more reasonable to let us depart? #Time is money #majority&gt;few"
"2733","@DeltaAssist if it takes over 20 min for my snowboard to come out at DEN, do I get bonus miles? I'm about to miss my ride to Vail..."
"2734","@AmericanAir aa3637 cancelled last night due to mechanical, no aa2973 delayed due to mechanical. This is unacceptable #aa #brokenplanes"
"2735","@SouthwestAir we've been waiting so long in the de-icing queue that the sun melted everything. Let's get moving, got a connecting flight."
"2736","Worst #layover ever, Waited 3 hrs in @fly2ohare for delayed @AmericanAir flight 2 NYC, Just now, pilot ""your bags haven'"
"2737","Make it a viral complaint @gcouros ! Did @AirCanada follow up when the bag handling vid went viral?  or @united with United Breaks Guitars"
"2738","Hey @united if your shuttle driver causes me to miss my flight, I'm going to send you the bill to my bar tab I'll rack up for the 5pm flight"
"2739","@united now 27 minutes and counting #delayed bc she dumped a drink!!! #leaveherbehind"
"2740","Fucking @united airlines is constantly figuring out new ways of how to give their customers the shaft!"
"2741","@united This plane smells like Thai food &amp; BO. A delicious combination."
"2742","@JensenAckles @AmericanAir oh daaaaamn. @jarpad isn't the only one who hates them lol"
"2743","@JensenAckles @AmericanAir On the Pada anniversary too! Geez you guys have terrible luck with airports."
"2744","@JensenAckles @AmericanAir FUCK DAMMIT HOT AS FUCKKKK"
"2745","Stupid @AmericanAir don't you dare to ruin our boy @JensenAckles birthday... let him go home!"
"2746","@DeltaAssist your service is terrible - 2 hours to wait on hold or get a call back?"
"2747","@JensenAckles Aw, you look miserable! @AmericanAir #FreeJensen"
"2748","@united you are slipping!  I'm switching airlines.  Just way too many issues with you lately"
"2749","@AmericanAir, develop a formal communications process for notifying passengers when their bags are available for pick-up when flights cancel"
"2750","""@JZdrojewski: Guarantee our team never travels @AmericanAir again after we've spent more hours on the runway than in the air"""
"2751","@AmericanAir hey american, hanni at ORD. Worst behind the counter person ever. Service was disappointing"
"2752","@JensenAckles @AmericanAir Sad that you are so far away from your fam.. that would drive me nuts"
"2753","@united a mess in managing a delay which led to a missing connection and I sleep in an airport... Sigh :-("
"2754","@AmericanAir you're terrible but @AlaskaAir finally helped and sold me a ticket on a full flight. Seattle headed your way. Then to PDX"
"2755","The worst travel days are actually when you don't go anywhere. You just spend 8 hours at the airport then head home again. @AmericanAir"
"2756","@DeltaAssist long day and now waiting at gate in MPLs for a deadhead pilot, Delays delays #frustrated"
"2757","@DeltaAssist flight 1 cancelled flight 2 has flap that won't align so fire trucks meet plane upon landing flight 3 misses runway and aborts"
"2758","@AmericanAir let me down again! In BLR and have to leave early to fly back to EWN bc dad on life suprt. Agent couldn't be more unhelpful...."
"2759","@americanair can you just rebook my mother for Monday, she's supposed to connect in Dallas and I'm not sending her there only to get stuck!"
"2760","As my first tweet I want to let @AmericanAir know how awful my experience has been today. Especially with Charlotte at DFW airport. #sobad"
"2761","@JetBlue maybe my overtired over-excited-for-Disney kids should ""help"" you out while we wait 3 HOURS for our flight. Unacceptable."
"2762","@soverymuggy @united seems like the sad but ugly truth"
"2763","@AlaskaAir are you flying out of DFW to YVR today? Our 2nd flight w @AmericanAir has been cancelled due to snow. We need to get home!"
"2764","@DeltaAssist my flight DL4936, LEX TO ATL, 9:00AM Sat, Feb 28, 2015. Is delayed need to connect to DL1803, ATL TO RDU, must get to RDU by 4"
"2765","@AmericanAir are all flights cancelled through DFW? Most before and most after are - but mines not. What's the best place to check?"
"2766","We__ve been waiting on @AmericanAir plane #2 maintenance for an hour. Yes 2nd plane. 3hrs. Tic toc__"
"2767","@TAMUPolice @AmericanAir computer cord &amp; wifi booster stolen from my bag at Easterwood last Friday-No return call from security. What now?"
"2768","@AmericanAir can you please have one flight I am on get from a to b without a delay from mechanical issue? And 4000 points doesn't help..."
"2769","@SouthwestAir hey Gang....hate to do this again...but is anybody answering your phones?  On hold for over an hour spread over 4 calls"
"2770","@AmericanAir very very disappointed.3 weeks in a row flying #AmericanAirlines  and each flight has had a delay or luggage lost.#unsatisfied"
"2771","Missed my connection and @SouthwestAir booked me a flight 24 hours later with no hotel voucher. #stranded"
"2772","@JetBlue cheer team didn't arrive at hotel until 5:30am. They have to compete today. Bus you promised never showed."
"2773","Wow, glad my @americanair flight got cancelled - experience on @virginamerica is amazing. No wonder our team keeps asking us to fly Virgin!"
"2774","@AmericanAir I have been waiting for 4 hours for an call from your representatives! I need help rebooking a flight that was cancelled now!"
"2775","@united after all that, they screwed up my rebooking. Just been chilling at the airport for the last couple hours. ___"
"2776","@ColleenB123 @SouthwestAir that's awful :("
"2777","@ColleenB123 @SouthwestAir what the he'll you get paid to carry luggage and passengers yet you can't keep it dry what the hell #badairline"
"2778","I have been on hold for over 2 hours @AmericanAir.   Just let me change my flight online already!"
"2779","@AmericanAir My flight tmrw from New York to Santiago was cancelled. I can't get on hold by phone. This destroys 3 mo of planning. No rebook"
"2780","@AmericanAir I have been on hold for 2 and half hours can I please get some help"
"2781","@AlaskaAir how about some help getting a new flight? Mine just got cancelled.. After sittin on Tarmac for 90 mins."
"2782","@AmericanAir my flight was cancelled and call center isn't taking calls. I need to get rebooked. Can you help?"
"2783","@AmericanAir why is my flight from CDG to DFW cancelled? It's 13 hours before the flight!"
"2784","@deltaassist on hold 45+ minutes to find out there's a $200 penalty fee to change airports for a flight that's 8 days away. Hi @jetblue!"
"2785","Hey @AmericanAir my sister is stuck in PA at my dying father's bedside.  You guys have her bags. I'm sure someone can fix this."
"2786","when your employee on phone is rude and interrupts, is that standard service?  or do i have to pay a rude employee fee for that? @AlaskaAir"
"2787","@AmericanAir Is your site for award travel not working?I get an error every flight that i select that says the flight is no longer available"
"2788","Been on hold for 38 minutes with @AmericanAir. I hope I can get this travel figured out soon."
"2789","My aunt has been on hold for over an hour w @USAirways @AmericanAir! #BadService! What's up with that? She wants to change airlines."
"2790","And once again @united makes me hate everything about flying. At least you fuckers are consistent. Just go out of business already."
"2791","@americanair My Twitter-less mother is trying to resched her cancelled flight (3502) for earlier tomorrow. Help a mama out."
"2792","@AmericanAir trying to get from MEM-&gt;LAX tomorrow, but cancelled through DFW, locator: PWCBST"
"2793","@AmericanAir I've tried calling in the afternoon, evening and a few minutes ago.  When will I be able to speak w/ a rep? #Frustrated"
"2794","#Shameful @united! Uncle passed away. needed to get last minute tix 4 cousins. Called back for price fix. UA chrg $250 for adjust. #No help"
"2795","Two @AmericanAir flights cancelled.  Now on hold for over 3 hrs trying to rebook.  You need more people."
"2796","@AmericanAir second day attempting to leave New Orleans-Flight cancelled and 2 hour phone wait-If girlfriend not home today she FAILS SCHOOL"
"2797","What a joke @AmericanAir!!! Tell us the flight is being diverted once everyone boards and still don't know where. This is unacceptable!"
"2798","@americanair our flight was cancelled and been on hold with customer service. If we book with another airline will we be reimbursed?"
"2799","@DeltaAssist flight 6265 has been delayed all morning. Will this effect the other flights this morning?"
"2800","@united looking for some help on cancelled flight"
"2801","@ScottNevins @united http://t.co/dVJtWnftL3 customer service is extra $25 to ticket price but not bad"
"2802","Missing a connecting flight to Europe. On hold with @AmericanAir for 3 hours http://t.co/NdF2xCThtl"
"2803","@AmericanAir #DFW worst service! #AmericanAirlines don't fly! 3 hours on runway! 6 hour lines! No service! Lost baggage!"
"2804","Flight cancelled after boarding, sitting on 2nd flight over 2 hours- still on the ground. Get it together @AmericanAir"
"2805","@gsiemens @united Were you asking at the bar &amp; ""deicing fluid"" is being used as a euphemism? If not that's just pathetic. Spray rock salt?"
"2806","Hey @SouthwestAir any help on getting a hotel tonight? Both flights have been cancelled today.Can't get anyone to help me on the phone"
"2807","@AmericanAir What's point of entering ur global entry number if it's not going 2 print precheck on my boarding pass? #fail #whyiflyjetblue"
"2808","@AmericanAir been on hold for over 3 hours to try to reschedule flight #1584 through Dallas.  WTHell is taking so long???"
"2809","Been on hold with @SouthwestAir for 37 minutes now to try and move a delayed flight. http://t.co/e86ITRsoWL"
"2810","@AmericanAir I lost my bags on a connecting flight yesterday. Very unhappy with the attitude of the attendants at STX! Still waiting today!"
"2811","@AmericanAir flight cancelled last night and was told an agent would work with me. Uninformed, showed up to MCI with NO flights available"
"2812","My Atacama Desert shoot for @RhapsodyMag, the 1st class inflight mag for @United, is out in the March issue. http://t.co/RPajOt9oZp"
"2813","In line 90 minutes,  On hold with customer service for 5 Hours with @AmericanAir.   Worst flying experience EVER."
"2814","@AmericanAir My flight got cancelled yesterday before I got to airport. Been calling since &amp; can't get through to speak with agent. Help?"
"2815","@AmericanAir is there any way that I can change my connecting flight plz?? I was on hold for over an hour. #Texas #badweather"
"2816","Been on hold for 8 hrs, really?!, Trying to rebook my flight!!! Is it time to give up? Damn this snow! @AmericanAir http://t.co/bKKrgt4VVC"
"2817","@SouthwestAir My flight was cancelled despite the equipment being in air. I am now missing a midterm at school tomorrow."
"2818","Flight from Dallas to BWI cancelled, can't get service via phone or in person #SOS @SouthwestAir"
"2819","@DeltaAssist why cant I get in touch with delta red. I'm on hold for over a hour"
"2820","@DeltaAssist Travel Nightmare! Been delayed and cancelled twice. Just want to get back home. Can't get through on the phone. Lines at desk.."
"2821","@AmericanAir How did 4634 get delayed twice from 12 to 2 and now 2 to 5?? #JustTryingToGetToPortland"
"2822","I wonder how @SouthwestAir plans on compensating us for a 6+ hour delay getting to San Diego from San Jose?"
"2823","@USAirways @AmericanAir US Air flight 1974 DCA to FLL waiting 35+ minutes on taxiway for deice. How much longer?"
"2824","@VirginAmerica awful customer service. Bumping a passenger who upgraded to priority on 6 hour flight from a window to a middle seat."
"2825","@SouthwestAir : cancel our flight &amp; then make us hold for 3.5 hours and counting. U Don't control weather but u do control customer service"
"2826","@DeltaAssist - hey guys, we've got a crisis with this DL 1097 flight LAX-RDU. Going on six-hour delay. Is there no way to rebook?? Help!"
"2827","@united My usual flight, VX 69, is about to land at SFO, yet here I am still at IAD due to a series of operational screw ups by United."
"2828","@AmericanAir I've been on hold for over 2 hrs to talk to someone about missing luggage from a flight yesterday. Any idea on est. wait time?"
"2829","@DeltaAssist your new policy about guests in the sky club sucks!!! No guests now at all??? Might be time to change airlines. BtW I'm a MM!"
"2830","@Gogo @AmericanAir @MelodyMendezTV Is wifi supposed to work on the tarmac? I thought it only works in the air."
"2831","@DeltaAssist my flight got cancelled and no one is rebooking my flight. call times are 2 hours now #help"
"2832","@SouthwestAir Trying to fix our cancelled flight. Been on hold over 4 HOURS. 4 hours! Where is the customer service? I am in tears."
"2833","@VirginAmerica literally most smug and least helpful staff ever...now I know why I've never flown with you all"
"2834","@DeltaAssist #badcs Our flight from lax to tpa was delayed 5 hrs when I spoke to the agent to find out the issue I was blown off. #shocked"
"2835","@ZacharyWhitten @AmericanAir Lost baggage claim is a similar experience. Second attempt, 39 minutes and counting http://t.co/zNHIIhJADK"
"2836","@_whitni Yeah, need to rethink that. I think the bigger issue is @united."
"2837","@DeltaAssist Now been on hold over 3 hours to adjust plans for LGA to ORD for tomorrow am...  HELP please"
"2838","So @DeltaAssist my wife was waiting for a connecting flight for almost 4 hours before it was cancelled at LGA will you cover her hotel now?"
"2839","@united @lufthansa have spent almost 4 hrs @ gate for LH401. 60 mins on hold w United. Lufthansa agent refused to rebook connecting flight."
"2840","@DeltaAssist flight 1830 is delayed waiting for flight crew.  I find this hard to believe that delta did not schedule a crew appropriately"
"2841","@DeltaAssist having issues with certificate booking. Online purchase didn't work. Now balance on certificate is not full amount"
"2842","@united 3hrs on plane, still haven't taken off. This is after original flight being canceled. Been at EWR since 6:30 am. This is ridiculous."
"2843","A canceled flight and a delayed flight. Dang @AmericanAir is gonna have to step it up!"
"2844","My @Delta flight has been delayed 3 hours because they can't find the pilot...@DeltaAssist"
"2845","Flying @AmericanAir . Flight is already delay. This just sucks. 1 800 greyhoud."
"2846","@united flight 1734. Been on this flight since 5:30 sitting on the Tarmac?! Really no straws?? My 2 year old can't even hydrate?"
"2847","@AmericanAir can 989 Mia to mvd be held to meet delayed 1598 from EWR?"
"2848","this is the second 3 plus hour maintenance delay on @united in the past week. not please. what compensation are they offering?"
"2849","And no. Our delay is not weather-related. Not directly, at least. @united"
"2850","@JetBlue why do you not give a shit about your clients"
"2851","TF you mean I gotta wait til Tuesday?! @SouthwestAir"
"2852","Hey @United I know you get tons of complaints here but allow me to praise gate agent Steve at O'Hare gate F9 for saving the day for me"
"2853","Sad. @AmericanAir changed my mothers flight in May. Now, she won't make it in time for my graduation. :("
"2854","@joelthiessen @united @thiessenhe - 2 days????!!!!!! #fail"
"2855","@united we would like to leave now, stop lying to us please"
"2856","@SouthwestAir worst day ever."
"2857","@united flight 487 into Dulles. Flight not listed on any baggage claim screens. Help- we are tired after being delayed!!"
"2858","@AmericanAir is my bag in Newark or Dfw now? I'm tired of being on hold for 3 hours. Record locator is WMWTQR. This is getting ridiculous"
"2859","On hold for 1h30min, initially expected 35min. Should I continue phone call on hold @united ? Website is no help for what I need."
"2860","@AmericanAir our luggage was lost on a mechanical delay out of Fresno 3 DAYS ago, and nobody at AA can find it!  Luggage Claim UXXINJ"
"2861","@lsarsour @united oh no! Are you stuck in #Chicago?"
"2862","@Shoq @lsarsour There are whole songs about how bad @united is! Lost guitars and such."
"2863","@united i am on ua162.  It is delayed by 4.5 hrs.  I've checked in but need to pick up boarding pass.  When must i arrive at airport?"
"2864","@united can you bros help me I've been on hold for an hour"
"2865","Shocked by @VirginAmerica. Poor management of cancelled #flight169 #EWRtoLAX Who do I talk to? http://t.co/DT3dfowDY2"
"2866","@AmericanAir Been waiting at Baggage claim 11 at LAS flight 1329 and no bags yet. Can you get an update for me?"
"2867",".@AmericanAir needed to cancel a flight. It leaves in &lt;2hr. Call back is &gt;2hr to reach a rep. So disappointed in very poor customer service"
"2868","@AmericanAir canceled my flight from ORD to LGA due to maintenance! Short notice no compensation!!!? This is absurd &amp; bad costumer care."
"2869","If I'm on your plane, expect it to be late due to mechanical issues. @Delta on Saturday. @AmericanAir this morning. #TravelwithDarrin"
"2870","@DeltaAssist Hi, just checked in for tmrw AM and noticed the travel agent mashed my first and middle name together. Will this be an issue?"
"2871","@ScotsFyre @GameOnJD @JHolmsted @_CCHayes @AmericanAir @iambo_rd   Twitterverse missed thee"
"2872","Hey @VirginAmerica WTF - sit on flight VX84 for an hour - get hot and sweaty - now de board for 2 hours? Pretty shitty"
"2873","@AmericanAir this is crazy been here two days in Norfolk waiting on a batt for your plane answers please and refund"
"2874","@AmericanAir Why is your Customer Service department with regard to broken airplanes and getting a refund for it so awful? ""Pending"" #awful"
"2875","@AmericanAir been trying for 3 days to book award on hold and phone lines say ""Due to severe weather, try again later"" can't even hold."
"2876","Hey @united!  The inbound IAH-PVR is delayed two hours but our outbound flight (#302) isn't showing a delay. Can someone assist?"
"2877","@DeltaAssist I have another question about my rollover MQMs from 2014. Submitted two tickets and still no response. Please help!"
"2878",". @united baggage delivery service is the RUDEST &amp; DISRESPECTFUL. I plan to make a formal written complaint. I will not tolerate disrespect."
"2879","Most airlines are bad at their jobs. But @SouthwestAir has to be the worst. My flight experience today reminds me why I try to avoid them."
"2880","@AmericanAir Havent been able to get through on phone to cancel my flight.I only have 24 hours to do so w/o the $200 fee.will u still charge"
"2881","@VirginAmerica Second time in one month delayed 3+ hours from New York. Late to San Francisco for @Launch Festival"
"2882","Hey @DeltaAssist; any way to request companion upgrade online? Huge wait times on phone given the weather."
"2883","That @VirginAmerica Safety Video was actually on point... Too bad I'm taking off 24 hours later than expected... #mixedreviews"
"2884","@united 6 of us r on delayed silver fly 85 from EYW to TPA for connect to iah on uA1166.  Hoping U will wait for us (andbags).  Any chance"
"2885","@SouthwestAir I can't access your website at all from my Windows Phone--just blank screen. Big inconvenience. Help, please."
"2886","Every time I fly @united I think ""Never again."" But, here I am."
"2887","@VirginAmerica why did you stop flying to SNA and leave us at the mercy of the cruel and spiteful overload @united. We're sorry. Come back!"
"2888","@SouthwestAir (Flight 1268 from BWI) - Lost our bags, now i'm late. Unfortunately an apology doesn't make me any less late..."
"2889","@ColleenB123 @AmericanAir They need to get their crap together! Feel really bad for you, hope everything's okay! _"
"2890","Finally Chicago  Vegas after a 2.5 hour delay compliments of @AmericanAir _last time I flew this airlines without a problem was_.NEVER!"
"2891","Return flight delayed too(due to crew) We'll be stuck in Denver over night if we miss our connection Hopefully @united puts us up in a hotel"
"2892","@AmericanAir flight cancelled, now on FL 2265 from DFW to SFO without seat reservations, traveling with an infant."
"2893","@united Flight cancelled DIA to Vail. Need to retrieve bag, please. Epic line at customer service."
"2894","@united Worst experience in my life! Wasn't allowed to use the restroom because we were 50 minutes from landing! Had to call EMS when landed"
"2895","@united One week ago, your airline lost my sister's @rikitapatel baggage. After appalling customer service, her baggage is still lost"
"2896","@united our flight out of IAH-&gt;NRT was delayed 2.5 hours due to baggage problem. What are the chances ANA will hold the NRT-&gt;MNL 5:30pm ?"
"2897","@AmericanAir 50% of the time using you and you can't be on time. These guys don't waste my time: @SouthwestAir @AlaskaAir @Delta"
"2898","@SouthwestAir is there a way to ""return"" my wifi purchase. It's so slow. Basic pages won't load, apps are stalling! http://t.co/XUZEOQBGGv"
"2899","@united please help. spent hour on phone yesterday-supposed to get call when problem with website solved. no call, problem not solved."
"2900","@SouthwestAir very disappointed at the gate at MCO. Pd for EB for family of 7 B3-B9, only to have other fams w/o kids 4/under before us."
"2901","@SouthwestAir My flight was cancelled from BWI to TPA today. I've been on hold for &gt;10min. Is there another way I can get through? thnx."
"2902","@mlgHwnT @AmericanAir i go on a flight with them in 2 days dont tell me they are bad i dont wanna be dead"
"2903","When I leave DVE for my own show one day, I'll always remember what @DVERandy taught me. Don't fly @united"
"2904","@united so unhappy with my flight situation I actually made a twitter account to voice complaints. #fail #customerservice #awful"
"2905","Hey, @united -it's bad enough you delayed my 18-minute flight by two hours; how 'bout not saying it's b/c of weather-pilot says mech issues!"
"2906","No response from @AmericanAir after AA diverted my DCA flt to EWR, stranded us in Newark @ 1am &amp; refused to issue hotel vouchers. #srsly?"
"2907","@AmericanAir 7 hrs &amp; counting on hold? R U  gonna cut @PhilGizzi a check for a work day? #titanicairlines  #allhandscurrentlyfapping"
"2908","@DeltaAssist stuck overseas trying to cancel my flight for tomorrow but the app keeps routing me out of the option! why do I do?"
"2909","The @SouthwestAir peeps at LaGuardia really need to work on the fuel issues. Refueling the plane twice &amp; now the de-icer needs fuel. "
"2910","After hours delayed on @SouthwestAir ... I'm in seat 7A. @DierksBentley can be very tempting. #drunkonaplane #amused #tempted #tootired"
"2911","@AmericanAir 'Missing in Dallas' Case of wine as checked baggage Mon. KONT to DFW AAL29 to CLT never made it to CLT. Handlers please return!"
"2912","@AmericanAir can you please send someone to DFW B49 so we can pull into our open gate. Been waiting for almost 40 minutes.  #waitingforagate"
"2913","Anyone stuck (or have friends) on @delta 498 JFK-SEA? Need 2 get a msg 2 someon on plane but their phone is dead....@DeltaAssist can u help?"
"2914","@AmericanAir I have been on hold for over a hour trying to reschedule  5:15am flight. What should I do?"
"2915","@AmericanAir I've been on hold for 1 hour 25 min!!!"
"2916","Still waiting to hear from @SouthwestAir on compensation for sitting on the plane for 3 hrs only to have my flight cancelled w/ no hotel."
"2917","@DeltaAssist I'm stuck sitting next to a guy that is practically taking my seat  flight 422 to lax  any ideas?"
"2918","In love with the new seat back chargers on @AlaskaAir - never have to worry about running out of charge en route again!"
"2919","@united How oh how do you manage to mess up our seats and tickets throughout our entire trip?!"
"2920","@VirginAmerica You just cancelled our flight. 13 hours before we are to board the plane. AND NOBODY ANSWERS YOUR PHONES....."
"2921","You're garbage. You had my mom on hold for over 4 hours this day too. She finally hung up. @AmericanAir http://t.co/fTzfNgDH4f"
"2922","@DeltaAssist hey just got a text that my sfo-jfk flight was cancelled?! Am already on bus to airport, what's going on?"
"2923","@AmericanAir having issues booking a flight. Calling in but can't get thru to ANY rep. Someone get back to me ASAP plz."
"2924","Got 150$ voucher through @united STILL unhappy with the service I was provided."
"2925","@SamSweets Rude, @JetBlue. We can party in our respective terminals and pretend we're together. Hope your plane gets fixed soon!"
"2926","@AmericanAir been on hold for 2+ hrs trying to rebook a cancelled USAir flight. Any chance I'll get to talk to someone in the next 2?"
"2927","My flight got cancelled so I had to depart a day early. I wonder if @JetBlue will give me a drink voucher if I tweet nicely."
"2928","Brighton, UK. To see my brother and his family who I have not seen in 4 years. I miss them :( @JetBlue #FlyingItForward"
"2929","@SouthwestAir unbelievable. You've cancelled my flights for the same trip twice. No other airlines are. What's your deal?!"
"2930","@DeltaAssist Worst airline ever. Reassigned out of our paid Economy comfort seats and then threatened to get kicked off plane for asking why"
"2931","@VirginAmerica I booked a flight but never received an email and I lost my confirmation code.. Please help"
"2932","@SouthwestAir I'm supposed to fly to BNA in the morning.  Weather looks horrible.  When do you guys make the call? Flight 1798"
"2933","@DeltaAssist please help my gf bag was lost She was going to be bounced last sec out on flight and stewardess took her bag bc overheads full"
"2934","@AmericanAir - if your site says my flight tomorrow is a go, but US Air says it's cancelled, who should I believe?  3491 out of CVG to DFW"
"2935","@DeltaAssist your airline is horrible!!"
"2936","@AmericanAir  been trying to reach customer service because flight got cancelled but won't even place me on hold."
"2937","Hey @United fuck you"
"2938","@JetBlue y'all better not cancel tomorrow"
"2939","7/5/14-6 hr wait 4 direct flight 2 TPA due to MX, rcvd vouchers that expire in a yr. 25 min on hld &amp; u won't accept 6 day ext? @SouthwestAir"
"2940","Ugh!  I've been sitting on a plane that landed @Midway at 8:43 pm (36 minutes ago) waiting for the plane to reach the gate. @SouthwestAir"
"2941","@DeltaAssist can you help me make a flight reservation for my grandmother's funeral?! I've been on hold for hours #delta #help"
"2942","@VirginAmerica seat 17F on my flight out to SFO had a broken seat recline button :((( who do I contact? http://t.co/TkdJf4IRr8"
